radius_mean,compactness_mean,concave_points_mean,compactness_worst,concavity_worst,concave_points_worst
11.47,0.05886,0.02322,0.112,0.09823,0.06548
14.42,0.1139,0.04223,0.3371,0.3755,0.1414
14.68,0.072,0.05259,0.1871,0.2914,0.1609
12.05,0.09092,0.02749,0.2156,0.305,0.06548
9.683,0.0503,0.009615,0.09546,0.0935,0.03846
10.97,0.1113,0.03613,0.4082,0.4779,0.1555
11.42,0.2839,0.1052,0.8663,0.6869,0.2575
12.54,0.1085,0.03279,0.1751,0.1889,0.08411
17.06,0.1056,0.09934,0.2053,0.392,0.1827
14.34,0.07624,0.04603,0.1525,0.1632,0.1087
14.58,0.1868,0.08783,0.6643,0.5539,0.2701
11.76,0.04966,0.01115,0.08615,0.05523,0.03715
12.83,0.1799,0.06861,0.5343,0.6282,0.1977
13.03,0.03766,0.02923,0.04619,0.04833,0.05013
16.84,0.07223,0.02771,0.171,0.1882,0.08436
20.48,0.08348,0.06022,0.2311,0.3158,0.1445
13.21,0.06877,0.03275,0.1381,0.1062,0.07958
8.671,0.04276,0.0,0.07057,0.0,0.0
11.87,0.1064,0.02386,0.3399,0.3218,0.0875
12.76,0.07948,0.02548,0.2208,0.1769,0.08411
14.86,0.198,0.08878,0.4648,0.4589,0.1727
12.65,0.1334,0.05074,0.3842,0.3582,0.1407
11.31,0.04701,0.0223,0.09148,0.1444,0.06961
11.94,0.1011,0.03791,0.2813,0.2365,0.1155
17.47,0.1603,0.1043,0.383,0.489,0.1721
14.96,0.09823,0.04819,0.303,0.1804,0.1489
11.6,0.05855,0.01777,0.1808,0.186,0.08288
12.34,0.1353,0.04562,0.4706,0.4425,0.1459
9.731,0.1599,0.07857,0.2772,0.8216,0.1571
11.27,0.1114,0.02757,0.2809,0.3021,0.08272
20.09,0.1838,0.128,0.3391,0.4932,0.1923
14.02,0.05581,0.02652,0.1017,0.0626,0.08216
10.51,0.06797,0.01875,0.08614,0.04158,0.03125
9.876,0.09697,0.03029,0.2302,0.2644,0.09749
11.57,0.07722,0.01428,0.1937,0.256,0.06664
12.31,0.06829,0.02272,0.1843,0.1703,0.0866
13.66,0.1147,0.04812,0.3167,0.366,0.1407
10.32,0.04994,0.005495,0.08842,0.04384,0.02381
17.95,0.06722,0.05596,0.1202,0.2249,0.1185
12.21,0.07823,0.02534,0.2431,0.3076,0.0914
12.21,0.07175,0.02027,0.217,0.2413,0.08829
12.87,0.07883,0.0209,0.1652,0.07127,0.06384
16.69,0.07112,0.02307,0.292,0.2477,0.08737
12.18,0.03212,0.005051,0.05332,0.04116,0.01852
16.35,0.1497,0.08773,0.4665,0.7087,0.2248
16.5,0.08468,0.04835,0.1679,0.1663,0.09123
12.04,0.06,0.02377,0.09726,0.05524,0.05547
10.05,0.07326,0.01775,0.1402,0.1055,0.06499
14.25,0.1098,0.05598,0.4238,0.5186,0.1447
11.28,0.1136,0.04796,0.1822,0.08669,0.08611
17.3,0.1041,0.08353,0.2405,0.3378,0.1857
20.59,0.1644,0.1121,0.3597,0.5179,0.2113
8.618,0.05272,0.007799,0.1239,0.1168,0.04419
12.63,0.1209,0.06021,0.225,0.2216,0.1105
16.27,0.1319,0.08488,0.2947,0.3597,0.1583
12.54,0.0265,0.005449,0.04327,0.003581,0.01635
17.29,0.1273,0.07507,0.2867,0.2298,0.1528
18.03,0.1232,0.06254,0.2666,0.429,0.1535
11.76,0.05914,0.03515,0.07974,0.0612,0.0716
13.0,0.07589,0.02645,0.1105,0.08112,0.06296
10.6,0.1147,0.02642,0.2515,0.1916,0.07926
11.62,0.1483,0.05564,0.2878,0.3186,0.1416
14.99,0.05131,0.02899,0.05131,0.02398,0.02899
11.89,0.0812,0.02179,0.2187,0.1164,0.08263
9.0,0.03116,0.003472,0.05232,0.01472,0.01389
19.18,0.1428,0.06772,0.5601,0.3865,0.1708
9.042,0.1972,0.04908,0.3748,0.4609,0.1145
11.8,0.17,0.07415,0.4092,0.4504,0.1865
13.9,0.05326,0.0207,0.1415,0.1673,0.0815
14.95,0.1167,0.03562,0.2521,0.25,0.08405
13.46,0.04726,0.01117,0.1457,0.07934,0.05781
25.73,0.2363,0.1913,0.5937,0.6451,0.2756
14.5,0.1099,0.05778,0.1788,0.256,0.1221
24.63,0.2106,0.1471,0.4188,0.4658,0.2475
12.18,0.07057,0.02941,0.09358,0.0498,0.05882
12.9,0.09509,0.03088,0.2548,0.209,0.1012
17.46,0.1298,0.08811,0.3735,0.3241,0.2066
19.44,0.1448,0.1194,0.3725,0.5936,0.206
9.787,0.05301,0.007937,0.09473,0.02049,0.02381
12.2,0.06545,0.01692,0.1928,0.1167,0.05556
20.47,0.1313,0.1015,0.2534,0.3092,0.1613
11.85,0.05642,0.0228,0.1758,0.1316,0.0914
20.18,0.1489,0.1259,0.2942,0.5308,0.2173
24.25,0.2867,0.2012,0.4244,0.5803,0.2248
11.41,0.08155,0.02361,0.161,0.1648,0.06296
23.29,0.2084,0.162,0.4167,0.7892,0.2733
20.34,0.1875,0.1504,0.4492,0.5344,0.2685
13.2,0.04524,0.01105,0.1508,0.2298,0.0497
16.17,0.1438,0.05397,0.255,0.2114,0.1251
20.44,0.1131,0.07785,0.2376,0.2702,0.1765
18.82,0.1389,0.08744,0.3463,0.3912,0.1708
21.71,0.08562,0.08465,0.1628,0.2861,0.182
12.45,0.1511,0.04846,0.4061,0.4896,0.1342
11.95,0.1206,0.01787,0.1885,0.03122,0.04766
13.85,0.06136,0.01141,0.135,0.08115,0.05104
15.19,0.06934,0.02657,0.1737,0.1362,0.08178
15.75,0.1204,0.06462,0.448,0.3976,0.1479
11.06,0.09097,0.03341,0.221,0.2299,0.1075
18.22,0.1485,0.106,0.2297,0.2623,0.1325
19.53,0.113,0.06637,0.4097,0.3995,0.1625
19.79,0.1589,0.1149,0.3861,0.5673,0.1732
15.05,0.08597,0.04335,0.2101,0.2866,0.112
11.14,0.06064,0.01471,0.1256,0.1201,0.03922
12.94,0.08836,0.0239,0.1958,0.181,0.08388
13.24,0.1223,0.02833,0.5646,0.6556,0.1357
13.05,0.1304,0.05603,0.2658,0.2573,0.1258
13.85,0.0633,0.02293,0.1141,0.04753,0.0589
13.3,0.06373,0.02424,0.1667,0.1212,0.05614
12.72,0.08393,0.01924,0.1472,0.05233,0.06343
12.0,0.0645,0.01945,0.1856,0.1811,0.07116
19.59,0.09871,0.09063,0.1845,0.3977,0.1466
20.64,0.1076,0.08941,0.3055,0.4159,0.2112
14.26,0.2233,0.07798,0.4193,0.6783,0.1505
12.81,0.03774,0.0133,0.05445,0.02758,0.0399
17.08,0.111,0.06431,0.2444,0.2639,0.1555
9.405,0.06159,0.01257,0.1193,0.06141,0.0377
10.94,0.0746,0.02932,0.1644,0.1412,0.07887
8.597,0.05847,0.0,0.07767,0.0,0.0
8.219,0.1305,0.02168,0.431,0.5381,0.07879
10.57,0.04462,0.01111,0.06542,0.03986,0.02222
20.51,0.1074,0.0834,0.2761,0.4146,0.1563
13.2,0.05251,0.003261,0.1346,0.0112,0.025
12.39,0.1297,0.0288,0.3593,0.3206,0.09804
23.27,0.1145,0.09702,0.3583,0.3948,0.2346
18.22,0.1117,0.0795,0.2763,0.3853,0.1776
11.71,0.06095,0.026,0.1028,0.1046,0.06968
18.08,0.08642,0.05778,0.1963,0.2535,0.09181
14.04,0.05895,0.02944,0.1252,0.1117,0.07453
15.66,0.3114,0.1377,0.5172,0.6181,0.2462
11.22,0.03574,0.006434,0.06885,0.02318,0.03002
11.93,0.07849,0.02008,0.2399,0.1503,0.07247
11.41,0.06685,0.02623,0.239,0.2102,0.08958
12.72,0.04522,0.01835,0.09605,0.03469,0.03612
10.57,0.166,0.05941,0.3619,0.603,0.1465
13.27,0.04994,0.02456,0.1311,0.1786,0.09678
18.01,0.1289,0.07762,0.2327,0.2544,0.1489
9.397,0.06053,0.005128,0.1887,0.1868,0.02564
14.76,0.0778,0.03528,0.2009,0.2151,0.1251
19.0,0.08028,0.05627,0.2264,0.3207,0.1218
11.51,0.1021,0.04105,0.2517,0.363,0.09653
12.58,0.04216,0.002924,0.06624,0.005579,0.008772
9.847,0.08419,0.02416,0.2243,0.08434,0.06528
9.676,0.2204,0.07038,0.3663,0.2913,0.1075
12.36,0.06815,0.01921,0.1963,0.1937,0.08442
11.63,0.08574,0.02017,0.2031,0.2923,0.06835
17.91,0.2576,0.1198,0.5917,0.9034,0.1964
15.71,0.09462,0.05933,0.1949,0.1709,0.1374
14.8,0.0889,0.0226,0.1881,0.206,0.08308
13.17,0.1047,0.05252,0.3904,0.3728,0.1607
14.97,0.07885,0.03781,0.1637,0.06648,0.08485
14.78,0.1479,0.09029,0.3416,0.3024,0.1614
16.24,0.1802,0.09052,0.4706,0.5026,0.1732
18.46,0.1053,0.08795,0.2089,0.3157,0.1642
11.3,0.1325,0.02854,0.4848,0.7436,0.1218
18.31,0.08468,0.05814,0.2445,0.3538,0.1571
14.92,0.08549,0.03221,0.2791,0.3151,0.1147
10.9,0.03718,0.006588,0.08294,0.01854,0.03953
19.17,0.2458,0.1118,0.3903,0.3639,0.1767
16.74,0.1336,0.06018,0.3835,0.5409,0.1813
15.3,0.1697,0.08751,0.611,0.6335,0.2024
12.32,0.06981,0.037,0.1266,0.1242,0.09391
11.43,0.09486,0.01861,0.1792,0.07708,0.06402
11.68,0.09263,0.03132,0.1477,0.149,0.09815
11.16,0.05978,0.01076,0.1108,0.03582,0.04306
14.53,0.078,0.02925,0.2649,0.3779,0.09594
13.56,0.1192,0.04451,0.2698,0.2577,0.0909
11.34,0.08499,0.02594,0.1574,0.1624,0.08542
20.26,0.1313,0.08683,0.3539,0.4098,0.1573
13.64,0.06059,0.01723,0.1582,0.105,0.08586
13.64,0.0663,0.03731,0.1291,0.1533,0.09222
14.59,0.133,0.03736,0.3171,0.3662,0.1105
15.75,0.2364,0.1242,0.5046,0.6872,0.2135
9.668,0.05428,0.005769,0.1255,0.06409,0.025
13.01,0.01938,0.001852,0.03432,0.007977,0.009259
16.25,0.1893,0.09194,0.4462,0.5897,0.1775
10.95,0.1218,0.05669,0.2698,0.4023,0.1424
8.571,0.07632,0.0151,0.2235,0.1754,0.08512
15.46,0.187,0.0852,0.4967,0.5911,0.2163
9.876,0.07232,0.01952,0.1247,0.06213,0.05588
15.49,0.1562,0.09113,0.3913,0.5553,0.2121
19.4,0.1442,0.09464,0.3749,0.4316,0.2252
8.878,0.07698,0.02381,0.1248,0.09441,0.04762
12.8,0.08895,0.04083,0.1812,0.1901,0.08296
19.45,0.1188,0.08591,0.3161,0.4317,0.1999
12.22,0.1152,0.02166,0.2315,0.3535,0.08088
20.29,0.1328,0.1043,0.205,0.4,0.1625
19.55,0.2063,0.1144,0.5329,0.4251,0.1941
10.96,0.09752,0.02788,0.251,0.2123,0.09861
14.9,0.2225,0.09711,0.709,0.9019,0.2475
13.61,0.08511,0.04489,0.1943,0.3169,0.1184
10.44,0.07722,0.01216,0.1153,0.02639,0.04464
12.88,0.1661,0.05303,0.2961,0.1246,0.1096
17.42,0.1146,0.06597,0.1793,0.2803,0.1099
9.436,0.05956,0.01406,0.1049,0.1144,0.05052
13.43,0.06288,0.03438,0.1546,0.2644,0.116
11.6,0.07525,0.0335,0.1851,0.1922,0.08449
12.95,0.07943,0.0337,0.2068,0.2241,0.1056
13.86,0.1517,0.05602,0.437,0.4636,0.1654
8.598,0.08963,0.009259,0.1698,0.09001,0.02778
16.14,0.08501,0.04528,0.1722,0.231,0.1129
13.17,0.1231,0.0734,0.4166,0.5006,0.2088
17.02,0.1496,0.1203,0.3559,0.5588,0.1847
15.5,0.1571,0.08481,0.4002,0.4211,0.2134
13.59,0.08259,0.02142,0.173,0.1453,0.06189
12.03,0.03892,0.005592,0.0739,0.007732,0.02796
12.23,0.08087,0.04107,0.2042,0.1377,0.108
18.45,0.09709,0.06847,0.2275,0.3965,0.1379
18.61,0.1066,0.07731,0.2117,0.3446,0.149
11.49,0.08228,0.01969,0.201,0.2596,0.07431
17.05,0.1572,0.109,0.3934,0.5018,0.2543
20.31,0.1088,0.09333,0.2945,0.3788,0.1697
13.66,0.07548,0.02471,0.3104,0.2569,0.1054
11.26,0.1181,0.05588,0.1843,0.1546,0.09314
12.7,0.05794,0.02402,0.1607,0.09385,0.08224
19.59,0.1666,0.1286,0.3846,0.681,0.2247
8.734,0.07428,0.0,0.131,0.0,0.0
18.31,0.1248,0.09451,0.2536,0.3759,0.151
14.95,0.1305,0.08624,0.2164,0.3355,0.1667
14.25,0.2008,0.08653,0.6247,0.6922,0.1785
12.77,0.05761,0.02704,0.1523,0.2177,0.09331
15.1,0.1807,0.08534,0.2883,0.196,0.1423
12.77,0.04234,0.01499,0.1064,0.08653,0.06498
13.0,0.1932,0.09353,0.5401,0.539,0.206
14.11,0.05306,0.02733,0.1109,0.05307,0.0589
11.71,0.07281,0.0325,0.1115,0.1087,0.07864
12.68,0.1262,0.06873,0.4061,0.4024,0.1716
19.53,0.1642,0.1062,0.4116,0.6121,0.198
13.73,0.2293,0.08025,0.7725,0.6943,0.2208
17.68,0.1665,0.1054,0.3498,0.3583,0.1515
13.44,0.06031,0.02031,0.2043,0.2085,0.1112
11.08,0.2154,0.06367,0.9379,0.8402,0.2524
11.71,0.06141,0.03239,0.104,0.1521,0.1099
12.46,0.04043,0.01149,0.06477,0.01674,0.0268
11.89,0.1154,0.03142,0.3046,0.2806,0.1138
12.27,0.06526,0.02653,0.1795,0.1377,0.09532
13.85,0.07688,0.03711,0.1724,0.1456,0.09993
11.94,0.04751,0.01349,0.08906,0.09203,0.06296
11.26,0.04413,0.005664,0.07723,0.02533,0.02832
18.77,0.1402,0.0609,0.4827,0.4634,0.2048
23.21,0.1682,0.1237,0.4126,0.582,0.2593
17.01,0.07304,0.0539,0.1486,0.1932,0.1096
28.11,0.1516,0.1595,0.1516,0.3201,0.1595
13.77,0.06221,0.01917,0.1072,0.03732,0.05802
11.69,0.1552,0.04531,0.3251,0.1395,0.1308
11.5,0.05991,0.02069,0.1049,0.08105,0.06544
14.05,0.1126,0.04304,0.2264,0.1326,0.1048
27.42,0.1988,0.1689,0.4256,0.6833,0.2625
13.38,0.07426,0.03264,0.1421,0.07003,0.07763
16.6,0.1023,0.05302,0.3094,0.3403,0.1418
10.49,0.06678,0.0178,0.1044,0.08423,0.06528
11.66,0.0363,0.01162,0.06476,0.03046,0.04262
10.71,0.1289,0.02867,0.255,0.2534,0.086
13.7,0.07957,0.0316,0.1346,0.1742,0.09077
11.99,0.09218,0.04274,0.1822,0.1609,0.1202
17.54,0.1198,0.07488,0.342,0.3508,0.1939
19.19,0.1185,0.09667,0.2016,0.2264,0.1777
13.28,0.1436,0.06158,0.3724,0.3664,0.1492
10.2,0.05907,0.01071,0.1397,0.1925,0.03571
11.93,0.05242,0.01796,0.1575,0.1514,0.06876
14.22,0.2413,0.06618,0.9327,0.8488,0.1772
14.2,0.1108,0.03058,0.3429,0.2512,0.1339
13.05,0.03735,0.008829,0.05847,0.01824,0.03532
15.53,0.1639,0.08399,0.5564,0.5703,0.2014
13.11,0.1765,0.09601,0.4099,0.6376,0.1986
19.55,0.1318,0.1021,0.2414,0.3829,0.1825
20.57,0.07864,0.07017,0.1866,0.2416,0.186
12.07,0.09009,0.02798,0.1632,0.1622,0.07393
11.45,0.09362,0.02233,0.1676,0.1755,0.06127
15.12,0.09588,0.04079,0.3331,0.3327,0.1252
16.13,0.1559,0.07752,0.5804,0.5274,0.1864
16.3,0.06712,0.04563,0.1361,0.1947,0.1357
10.8,0.05743,0.01404,0.1696,0.1927,0.07485
12.62,0.0543,0.02272,0.1517,0.1887,0.09851
20.2,0.1669,0.1265,0.3416,0.3703,0.2152
15.37,0.1036,0.07483,0.1997,0.2846,0.1476
23.51,0.1283,0.141,0.2678,0.4819,0.2089
10.26,0.09159,0.02037,0.1636,0.07162,0.04074
12.42,0.03393,0.01108,0.07776,0.06243,0.04052
15.85,0.1002,0.05364,0.1924,0.2322,0.1119
12.49,0.03834,0.006423,0.04953,0.01938,0.02784
13.88,0.04831,0.008507,0.1233,0.1091,0.04537
9.742,0.04689,0.01407,0.0937,0.04043,0.05159
10.8,0.05736,0.01698,0.1257,0.1047,0.04603
20.92,0.2236,0.1474,0.4186,0.6599,0.2542
15.73,0.1299,0.06211,0.2979,0.4004,0.1452
12.88,0.05824,0.02343,0.162,0.2439,0.06493
9.268,0.2239,0.05252,0.3441,0.2099,0.1025
13.75,0.06807,0.02344,0.1442,0.1359,0.06106
12.3,0.07253,0.01654,0.165,0.1423,0.04815
12.83,0.08269,0.03078,0.261,0.3476,0.09783
11.74,0.09661,0.02639,0.2793,0.269,0.1056
13.05,0.03789,0.004167,0.06191,0.001845,0.01111
10.88,0.1069,0.01571,0.3898,0.3365,0.07966
19.73,0.1849,0.0974,0.5955,0.8489,0.2507
9.504,0.06492,0.02076,0.1148,0.08867,0.06227
11.54,0.05969,0.008907,0.1626,0.08324,0.04715
9.755,0.04626,0.01043,0.1109,0.0719,0.04866
11.75,0.1141,0.03738,0.1892,0.1956,0.07909
11.33,0.03872,0.003333,0.07348,0.004955,0.01111
12.77,0.06601,0.02864,0.08978,0.05186,0.04773
14.6,0.06636,0.05271,0.1581,0.2675,0.1359
14.99,0.1025,0.03876,0.3345,0.3114,0.1308
17.85,0.06217,0.04178,0.09976,0.1048,0.08341
19.68,0.1339,0.1103,0.3458,0.4734,0.2255
13.5,0.03614,0.004419,0.05836,0.01379,0.0221
12.19,0.09509,0.02882,0.2585,0.09915,0.08187
14.42,0.1141,0.05839,0.3026,0.3194,0.1565
21.37,0.1515,0.1255,0.284,0.4024,0.1966
19.02,0.1206,0.08271,0.3206,0.5755,0.1956
13.0,0.05073,0.01762,0.1093,0.04462,0.05921
16.03,0.1371,0.07041,0.4478,0.4956,0.1981
14.19,0.1306,0.06462,0.4059,0.3744,0.1772
13.14,0.1089,0.0351,0.3549,0.4504,0.1181
18.66,0.11,0.08665,0.2291,0.3272,0.1674
13.08,0.127,0.0311,0.2776,0.189,0.07283
8.888,0.1531,0.02872,0.2436,0.1434,0.04786
11.64,0.1017,0.03485,0.266,0.2873,0.1218
14.29,0.02675,0.00625,0.05036,0.03866,0.03333
13.98,0.1133,0.06463,0.3568,0.4069,0.1827
12.18,0.04038,0.0177,0.08862,0.1145,0.07431
